"","length","dates","frequency"
"10",50,2014-10-15,1
"11",51,2014-10-15,1
"13",53,2014-10-15,3
"14",54,2014-10-15,2
"15",55,2014-10-15,1
"17",57,2014-10-15,1
"19",59,2014-10-15,1
"23",63,2014-10-15,1
"24",64,2014-10-15,2
"25",65,2014-10-15,1
"26",66,2014-10-15,1
"27",67,2014-10-15,2
"29",69,2014-10-15,2
"30",70,2014-10-15,4
"31",71,2014-10-15,3
"32",72,2014-10-15,4
"33",73,2014-10-15,5
"34",74,2014-10-15,8
"35",75,2014-10-15,3
"36",76,2014-10-15,3
"37",77,2014-10-15,3
"38",78,2014-10-15,3
"39",79,2014-10-15,2
"41",81,2014-10-15,2
"42",82,2014-10-15,2
"43",83,2014-10-15,5
"44",84,2014-10-15,2
"45",85,2014-10-15,3
"46",86,2014-10-15,1
"47",87,2014-10-15,2
"48",88,2014-10-15,1
"49",89,2014-10-15,5
"50",90,2014-10-15,6
"51",91,2014-10-15,3
"52",92,2014-10-15,9
"53",93,2014-10-15,5
"54",94,2014-10-15,5
"55",95,2014-10-15,3
"57",97,2014-10-15,2
"59",99,2014-10-15,2
"62",102,2014-10-15,1
"68",108,2014-10-15,1
"84",124,2014-10-15,1
"113",46,2014-11-15,1
"117",50,2014-11-15,1
"118",51,2014-11-15,4
"119",52,2014-11-15,5
"120",53,2014-11-15,3
"121",54,2014-11-15,9
"122",55,2014-11-15,1
"123",56,2014-11-15,2
"124",57,2014-11-15,3
"125",58,2014-11-15,3
"126",59,2014-11-15,3
"127",60,2014-11-15,3
"128",61,2014-11-15,1
"129",62,2014-11-15,1
"130",63,2014-11-15,1
"131",64,2014-11-15,2
"132",65,2014-11-15,1
"133",66,2014-11-15,3
"134",67,2014-11-15,5
"135",68,2014-11-15,11
"136",69,2014-11-15,12
"137",70,2014-11-15,16
"138",71,2014-11-15,33
"139",72,2014-11-15,32
"140",73,2014-11-15,28
"141",74,2014-11-15,29
"142",75,2014-11-15,23
"143",76,2014-11-15,13
"144",77,2014-11-15,13
"145",78,2014-11-15,10
"146",79,2014-11-15,4
"147",80,2014-11-15,5
"148",81,2014-11-15,5
"149",82,2014-11-15,5
"150",83,2014-11-15,9
"151",84,2014-11-15,8
"152",85,2014-11-15,12
"153",86,2014-11-15,11
"154",87,2014-11-15,13
"155",88,2014-11-15,12
"156",89,2014-11-15,15
"157",90,2014-11-15,8
"158",91,2014-11-15,14
"159",92,2014-11-15,11
"160",93,2014-11-15,6
"161",94,2014-11-15,5
"162",95,2014-11-15,2
"163",96,2014-11-15,5
"164",97,2014-11-15,3
"165",98,2014-11-15,2
"166",99,2014-11-15,3
"168",101,2014-11-15,2
"172",105,2014-11-15,1
"175",108,2014-11-15,1
"179",112,2014-11-15,1
"186",119,2014-11-15,1
"193",126,2014-11-15,1
"218",44,2014-12-15,1
"219",45,2014-12-15,1
"221",47,2014-12-15,1
"222",48,2014-12-15,3
"223",49,2014-12-15,4
"224",50,2014-12-15,14
"225",51,2014-12-15,28
"226",52,2014-12-15,38
"227",53,2014-12-15,43
"228",54,2014-12-15,30
"229",55,2014-12-15,40
"230",56,2014-12-15,41
"231",57,2014-12-15,38
"232",58,2014-12-15,38
"233",59,2014-12-15,33
"234",60,2014-12-15,26
"235",61,2014-12-15,26
"236",62,2014-12-15,12
"237",63,2014-12-15,8
"238",64,2014-12-15,10
"239",65,2014-12-15,8
"240",66,2014-12-15,3
"241",67,2014-12-15,7
"242",68,2014-12-15,4
"243",69,2014-12-15,10
"244",70,2014-12-15,11
"245",71,2014-12-15,25
"246",72,2014-12-15,44
"247",73,2014-12-15,60
"248",74,2014-12-15,81
"249",75,2014-12-15,51
"250",76,2014-12-15,44
"251",77,2014-12-15,30
"252",78,2014-12-15,24
"253",79,2014-12-15,17
"254",80,2014-12-15,13
"255",81,2014-12-15,8
"256",82,2014-12-15,6
"257",83,2014-12-15,3
"258",84,2014-12-15,4
"259",85,2014-12-15,6
"260",86,2014-12-15,5
"261",87,2014-12-15,5
"262",88,2014-12-15,3
"263",89,2014-12-15,4
"264",90,2014-12-15,7
"265",91,2014-12-15,3
"266",92,2014-12-15,3
"267",93,2014-12-15,2
"268",94,2014-12-15,1
"269",95,2014-12-15,3
"270",96,2014-12-15,2
"272",98,2014-12-15,1
"273",99,2014-12-15,1
"274",100,2014-12-15,1
"276",102,2014-12-15,1
"277",103,2014-12-15,2
"281",107,2014-12-15,1
"284",110,2014-12-15,1
"330",49,2015-01-15,2
"331",50,2015-01-15,2
"332",51,2015-01-15,12
"333",52,2015-01-15,16
"334",53,2015-01-15,27
"335",54,2015-01-15,25
"336",55,2015-01-15,23
"337",56,2015-01-15,18
"338",57,2015-01-15,15
"339",58,2015-01-15,24
"340",59,2015-01-15,11
"341",60,2015-01-15,15
"342",61,2015-01-15,28
"343",62,2015-01-15,31
"344",63,2015-01-15,17
"345",64,2015-01-15,21
"346",65,2015-01-15,15
"347",66,2015-01-15,11
"348",67,2015-01-15,9
"349",68,2015-01-15,11
"350",69,2015-01-15,8
"351",70,2015-01-15,4
"352",71,2015-01-15,3
"353",72,2015-01-15,4
"354",73,2015-01-15,3
"355",74,2015-01-15,4
"356",75,2015-01-15,7
"357",76,2015-01-15,4
"358",77,2015-01-15,8
"359",78,2015-01-15,8
"360",79,2015-01-15,4
"361",80,2015-01-15,2
"362",81,2015-01-15,6
"363",82,2015-01-15,2
"364",83,2015-01-15,2
"365",84,2015-01-15,1
"367",86,2015-01-15,1
"368",87,2015-01-15,1
"370",89,2015-01-15,1
"371",90,2015-01-15,1
"374",93,2015-01-15,2
"375",94,2015-01-15,1
"379",98,2015-01-15,1
"388",107,2015-01-15,1
"425",144,2015-01-15,1
"438",50,2015-02-15,3
"440",52,2015-02-15,5
"441",53,2015-02-15,2
"442",54,2015-02-15,6
"443",55,2015-02-15,7
"444",56,2015-02-15,21
"445",57,2015-02-15,30
"446",58,2015-02-15,28
"447",59,2015-02-15,15
"448",60,2015-02-15,16
"449",61,2015-02-15,33
"450",62,2015-02-15,14
"451",63,2015-02-15,14
"452",64,2015-02-15,14
"453",65,2015-02-15,16
"454",66,2015-02-15,14
"455",67,2015-02-15,7
"456",68,2015-02-15,7
"457",69,2015-02-15,6
"458",70,2015-02-15,5
"459",71,2015-02-15,1
"461",73,2015-02-15,2
"462",74,2015-02-15,1
"463",75,2015-02-15,2
"464",76,2015-02-15,2
"465",77,2015-02-15,3
"466",78,2015-02-15,5
"467",79,2015-02-15,6
"468",80,2015-02-15,3
"469",81,2015-02-15,6
"470",82,2015-02-15,8
"471",83,2015-02-15,2
"472",84,2015-02-15,2
"473",85,2015-02-15,2
"474",86,2015-02-15,1
"476",88,2015-02-15,3
"477",89,2015-02-15,2
"480",92,2015-02-15,3
"481",93,2015-02-15,1
"482",94,2015-02-15,3
"485",97,2015-02-15,1
"486",98,2015-02-15,1
"488",100,2015-02-15,1
"548",53,2015-03-15,1
"549",54,2015-03-15,2
"550",55,2015-03-15,2
"551",56,2015-03-15,2
"553",58,2015-03-15,2
"554",59,2015-03-15,1
"556",61,2015-03-15,3
"557",62,2015-03-15,2
"558",63,2015-03-15,5
"559",64,2015-03-15,4
"560",65,2015-03-15,8
"561",66,2015-03-15,11
"562",67,2015-03-15,11
"563",68,2015-03-15,14
"564",69,2015-03-15,8
"565",70,2015-03-15,8
"566",71,2015-03-15,4
"567",72,2015-03-15,6
"568",73,2015-03-15,2
"570",75,2015-03-15,1
"571",76,2015-03-15,1
"575",80,2015-03-15,1
"576",81,2015-03-15,1
"577",82,2015-03-15,1
"580",85,2015-03-15,1
"581",86,2015-03-15,2
"582",87,2015-03-15,2
"583",88,2015-03-15,5
"584",89,2015-03-15,2
"585",90,2015-03-15,4
"586",91,2015-03-15,2
"587",92,2015-03-15,1
"588",93,2015-03-15,1
"589",94,2015-03-15,1
"590",95,2015-03-15,1
"591",96,2015-03-15,2
"592",97,2015-03-15,1
